	Run	Language	Language name	Num wiki articles	Smoothed num wiki articles	total acc	total f1	music acc	music f1	cooking acc	cooking f1	news acc	news f1	transport acc	transport f1	weather acc	weather f1	social acc	social f1	Distance
0	0	ru	Russian	1501878	21069.016291708875	81.0	79.9	94.4	81.8	97.9	79.3	74.8	81.1	91.1	89.2	77.0	85.3	59.8	62.9	0.0
1	0	en	English	5731625	53801.50665616637	75.6	75.8	97.1	67.7	94.0	88.8	46.6	62.1	86.9	89.5	70.5	82.3	75.3	64.2	60.3
2	0	pt	Portuguese	1007323	15930.086174949594	68.2	67.6	95.2	67.2	95.1	71.2	40.2	55.2	79.6	82.4	55.8	70.7	68.4	58.9	61.6
3	0	tl	Filipino	80992	2728.409081660485	55.8	52.3	83.8	51.1	77.4	40.0	3.5	6.7	68.2	78.0	54.3	69.8	71.2	68.3	91.9
4	0	nl	Dutch	1944129	25241.05801287733	69.2	68.7	92.3	62.2	84.8	73.1	55.0	67.9	88.8	88.7	42.2	58.8	71.4	61.7	64.6
5	0	id	Indonesian	440952	8934.575471457805	66.6	65.0	93.0	78.0	92.6	56.9	26.3	41.2	81.6	84.4	61.3	75.3	67.8	53.9	91.2
6	0	zh-TW	Chinese (Taiwan)	1025366	16129.289567758304	77.7	77.2	93.5	84.8	98.2	76.6	51.8	65.4	88.5	90.0	75.7	85.3	73.2	60.9	92.2
7	0	fi	Finnish	445606	9000.48103071153	53.3	50.3	91.0	58.9	82.3	49.2	13.2	22.9	76.5	79.8	28.4	42.4	60.2	48.6	88.9
8	0	fr	French	2046793	26166.868152131654	65.9	64.8	95.6	62.4	94.0	72.7	34.9	48.3	87.2	87.3	39.9	56.2	72.4	62.1	61.0
9	0	sv	Swedish	3763579	40079.35516912295	69.1	68.4	92.7	64.0	75.6	69.9	48.2	62.8	86.8	85.6	52.3	67.3	72.2	61.1	59.5
10	0	it	Italian	1466064	20716.05477596178	68.2	66.7	93.9	69.8	97.5	65.9	37.2	52.5	90.2	89.8	45.7	62.1	71.2	59.9	45.8
11	0	es	Spanish	1480965	20863.220900139917	68.8	67.7	94.4	68.8	97.2	67.9	48.0	62.8	86.5	85.7	55.8	70.3	52.1	50.5	51.7
12	0	hu	Hungarian	437984	8892.436485412938	60.8	58.7	95.4	63.3	85.5	69.9	13.9	23.4	82.2	81.1	48.6	64.0	65.4	50.2	87.2
13	0	da	Danish	240436	5843.857885715987	67.0	66.2	94.9	67.6	64.3	61.2	50.2	65.4	77.7	76.5	50.3	65.7	76.1	60.9	66.2
14	0	sl	Slovenian	162453	4441.292895433814	66.3	64.7	91.8	74.5	87.6	59.4	31.4	45.5	85.8	86.8	59.7	73.4	59.4	48.8	4.2
15	0	fa	Persian	643750	11643.996586055895	64.4	62.9	93.0	69.4	85.9	67.6	22.6	34.7	74.2	79.7	70.9	81.7	57.5	44.5	72.4
16	0	ml	Malayalam	59305	2193.6327290113036	49.1	47.1	85.0	65.5	55.5	42.1	8.3	14.9	33.7	47.1	60.5	72.5	72.0	40.6	96.7
17	0	pl	Polish	1303297	19077.89160410566	65.5	63.8	93.7	68.9	67.8	55.2	45.5	55.0	82.6	80.4	58.4	72.8	52.3	50.3	5.1
18	0	de	German	2227483	27763.235613104658	53.3	52.3	95.2	48.6	62.2	62.1	16.6	27.5	66.6	74.8	30.2	45.8	74.8	55.2	64.5
19	0	ur	Urdu	140939	4020.886646589358	55.6	55.4	78.7	49.0	64.7	55.9	30.0	43.3	45.6	58.8	63.4	76.2	66.4	49.0	66.7
20	0	ta	Tamil	118119	3553.2341961723664	51.7	49.3	91.0	64.8	65.4	47.4	18.7	29.4	75.3	75.3	22.1	35.2	63.4	43.6	94.7
21	0	ar	Arabic	619692	11337.652004613721	54.5	53.7	88.6	58.4	78.4	59.4	20.1	30.0	56.4	65.9	59.3	72.4	46.1	36.2	86.5
22	0	af	Afrikaans	62963	2287.493079706232	53.0	49.9	93.0	49.2	73.5	55.8	6.9	12.5	79.6	84.3	34.3	50.2	56.7	47.6	64.8
23	0	ms	Malay	320631	7148.3178746845315	66.4	64.6	92.0	74.3	90.1	57.5	25.7	40.3	78.3	83.6	64.2	77.4	69.4	54.4	-
24	0	ca	Catalan	591783	10977.760196118565	60.7	58.9	95.4	63.0	90.1	59.5	33.0	47.5	87.1	86.4	37.0	53.3	47.9	43.4	60.3
25	0	ko	Korean	429369	8769.634230898475	61.5	60.3	93.9	63.6	77.0	69.9	18.2	26.8	81.6	85.2	48.7	64.3	71.0	52.0	89.5
26	0	ka	Georgian	124694	3690.5567651731817	38.5	37.6	92.5	53.0	55.8	33.8	21.7	29.2	28.8	39.3	30.6	44.5	30.4	26.1	96.0
27	0	zh	Chinese	1025366	16129.289567758304	76.0	75.5	93.9	83.3	96.8	75.7	46.4	60.1	86.9	88.9	72.0	82.5	77.3	62.3	92.2
28	0	el	Greek	153855	4275.413558775179	48.7	46.8	94.4	52.5	73.9	42.4	12.3	21.6	42.2	56.2	40.2	53.8	63.8	54.2	75.3
29	0	ro	Romanian	388896	8182.451378862378	58.3	54.4	92.7	56.2	81.6	51.1	7.5	13.6	81.3	84.5	42.8	58.7	70.8	62.1	55.0
30	0	nb	Norwegian Bokmål	495395	9693.176779637484	64.1	63.5	94.2	62.1	70.7	66.0	45.1	58.7	82.3	84.2	35.9	51.8	75.5	57.9	67.2
31	0	hy	Armenian	246571	5947.841647504996	52.1	51.3	92.3	52.4	59.0	42.5	37.6	50.4	54.1	63.3	29.1	43.6	64.2	55.4	77.8
32	0	az	Azerbaijani	138538	3972.8140633080093	63.7	63.1	90.1	74.1	89.0	61.8	31.1	45.3	63.0	68.7	66.1	78.6	65.8	50.0	87.7
33	0	vi	Vietnamese	1190187	17903.19910696157	63.0	62.2	92.0	56.4	96.1	73.3	28.9	43.7	81.3	87.1	36.2	52.4	77.1	60.5	95.0
34	0	am	Amharic	14375	813.4399490826034	9.5	4.6	1.0	1.5	97.5	16.7	0.0	0.0	0.1	0.3	0.0	0.0	5.4	9.4	86.6
35	0	mn	Mongolian	18353	965.1502893781166	34.5	31.2	91.3	59.7	55.1	24.8	0.8	1.6	25.9	39.0	13.4	23.1	61.2	39.1	86.2
36	0	te	Telugu	69354	2447.6541908977074	53.6	49.7	92.5	52.5	46.3	43.0	7.7	13.8	61.3	68.9	67.5	77.6	52.3	42.6	96.7
37	0	tr	Turkish	316969	7091.069677157644	63.2	60.5	92.5	64.4	82.3	62.1	14.4	24.5	80.3	83.8	59.1	73.6	71.8	54.4	86.2
38	0	sw	Swahili	45806	1830.820042504627	30.6	27.4	88.4	34.0	50.2	30.0	1.1	2.2	29.5	44.4	3.6	6.7	49.9	46.9	95.1
39	0	hi	Hindi	127044	3739.1071557224855	59.5	57.5	90.3	69.3	81.6	57.1	15.5	25.2	67.9	72.7	66.5	79.1	54.5	41.5	69.8
40	0	my	Burmese	39823	1659.9453177012165	52.3	49.3	86.0	67.6	78.8	43.5	2.9	5.4	65.8	74.6	45.5	61.9	62.6	42.8	86.0
41	0	sq	Albanian	74871	2582.3763971227927	51.8	46.5	93.0	58.4	80.9	44.9	4.8	9.0	86.0	87.3	16.9	28.1	63.8	51.0	69.4
42	0	kn	Kannada	23844	1159.2187022563849	56.3	53.7	86.7	63.4	61.5	53.2	10.2	17.7	64.9	68.2	63.2	75.8	63.8	44.0	90.8
43	0	he	Hebrew	231868	5697.293213710288	59.7	58.0	92.7	58.9	70.3	56.1	32.2	47.3	70.4	73.9	65.3	76.0	38.0	36.1	88.9
44	0	cy	Welsh	101472	3194.7902785368406	28.1	23.6	90.1	39.8	56.5	32.2	1.1	2.2	13.7	23.1	5.2	9.8	48.1	34.4	75.5
45	0	lv	Latvian	88189	2895.9435542059928	50.0	47.9	90.8	60.5	85.5	51.9	14.0	23.8	69.2	74.0	26.3	40.9	48.9	36.3	49.1
46	0	ja	Japanese	1124097	17201.354733083634	68.5	66.0	93.0	74.6	83.0	66.8	19.5	31.5	87.6	89.2	75.0	84.8	65.2	48.9	93.3
47	0	bn	Bangla	61294	2244.8771262505607	45.5	43.4	92.0	53.3	49.8	41.2	11.8	19.7	51.8	57.7	31.4	46.9	59.0	41.7	66.3
48	0	jv	Javanese	54964	2079.9592748739587	39.0	36.8	90.6	48.9	78.4	33.2	5.4	10.2	27.2	40.3	25.8	40.0	51.9	48.0	95.4
49	0	th	Thai	127010	3738.4066557136134	44.8	42.2	93.7	48.2	59.4	42.7	13.9	21.8	64.6	71.6	15.9	27.2	49.7	41.4	89.5
50	0	km	Khmer	6741	478.7480620730186	12.3	8.4	4.8	8.3	64.3	14.4	0.3	0.6	0.0	0.0	0.0	0.0	39.2	27.2	97.1
51	0	is	Icelandic	45873	1832.6941776121614	31.7	28.6	78.0	43.0	61.8	29.8	5.1	9.2	14.1	22.3	14.7	25.0	59.0	42.4	68.9
52	1	ru	Russian	1501878	21069.016291708875	81.5	81.0	94.2	77.1	96.5	86.5	74.3	81.2	89.2	91.3	80.0	86.5	63.2	63.2	0
53	1	en	English	5731625	53801.50665616637	74.0	74.6	97.3	62.3	79.9	85.6	51.7	65.7	84.3	89.7	70.1	81.8	70.6	62.4	60.3
54	1	pt	Portuguese	1007323	15930.086174949594	68.5	68.9	96.1	61.3	78.8	78.7	43.5	58.7	76.0	81.7	61.7	74.6	70.4	58.5	61.6
55	1	tl	Filipino	80992	2728.409081660485	54.5	50.5	89.3	45.3	49.8	40.8	3.5	6.8	68.3	78.1	56.1	70.8	70.6	61.4	91.9
56	1	nl	Dutch	1944129	25241.05801287733	68.3	68.2	94.9	56.4	67.8	71.5	61.1	73.0	87.8	89.1	42.9	58.9	65.6	60.4	64.6
57	1	id	Indonesian	440952	8934.575471457805	71.0	70.1	95.6	68.2	81.6	70.4	46.7	62.0	78.3	82.9	72.6	82.5	62.4	54.7	91.2
58	1	zh-TW	Chinese (Taiwan)	1025366	16129.289567758304	80.4	80.2	94.4	79.2	94.7	85.5	73.5	79.8	82.3	86.5	79.1	86.4	68.2	63.8	92.2
59	1	fi	Finnish	445606	9000.48103071153	53.4	51.1	92.0	54.6	63.3	48.8	14.0	24.0	69.5	78.4	38.0	51.3	65.2	49.2	88.9
60	1	fr	French	2046793	26166.868152131654	64.9	65.2	96.4	57.6	84.8	81.9	34.8	48.9	85.0	87.7	41.4	57.0	71.6	58.4	61.0
61	1	sv	Swedish	3763579	40079.35516912295	69.9	69.3	95.6	59.4	56.2	67.1	51.8	66.5	85.3	88.4	60.8	73.8	70.8	60.4	59.5
62	1	it	Italian	1466064	20716.05477596178	68.4	68.2	95.2	63.4	85.9	78.1	39.2	54.1	89.2	91.6	52.0	66.3	68.2	55.6	45.8
63	1	es	Spanish	1480965	20863.220900139917	67.4	67.6	94.7	61.8	90.8	81.7	39.6	55.4	84.5	85.5	55.3	69.6	60.4	51.4	51.7
64	1	hu	Hungarian	437984	8892.436485412938	62.5	61.7	93.7	60.4	73.1	74.3	19.1	31.0	78.3	83.1	55.4	68.8	73.2	52.4	87.2
65	1	da	Danish	240436	5843.857885715987	66.9	65.8	96.4	58.8	45.6	56.1	55.7	69.5	77.1	79.5	54.9	69.2	72.0	61.4	66.2
66	1	sl	Slovenian	162453	4441.292895433814	72.2	71.1	91.8	67.7	74.6	65.4	56.6	70.0	84.3	88.4	67.4	77.8	64.4	57.1	4.2
67	1	fa	Persian	643750	11643.996586055895	67.0	66.2	91.0	67.5	79.2	71.2	29.7	44.6	73.1	80.2	73.8	81.8	69.0	51.7	72.4
68	1	ml	Malayalam	59305	2193.6327290113036	51.8	49.9	84.5	69.8	45.9	44.4	13.9	23.3	29.1	43.1	67.4	74.5	84.9	44.4	96.7
69	1	pl	Polish	1303297	19077.89160410566	62.8	60.5	93.7	60.5	47.7	53.8	26.2	39.8	80.0	83.5	67.2	78.7	61.2	46.7	5.1
70	1	de	German	2227483	27763.235613104658	50.2	49.4	96.6	43.6	36.4	51.4	15.0	25.5	60.4	73.2	34.0	49.6	73.6	53.4	64.5
71	1	ur	Urdu	140939	4020.886646589358	58.3	57.7	81.1	51.5	46.6	53.7	36.2	51.1	46.2	60.2	70.5	79.6	72.8	50.0	66.7
72	1	ta	Tamil	118119	3553.2341961723664	56.1	54.8	92.7	65.2	54.1	49.7	30.5	43.9	72.7	74.4	35.1	48.9	66.8	46.7	94.7
73	1	ar	Arabic	619692	11337.652004613721	57.8	57.2	89.8	58.5	59.0	56.1	35.6	47.5	52.4	63.9	64.2	72.2	56.5	45.0	86.5
74	1	af	Afrikaans	62963	2287.493079706232	52.4	51.5	95.6	43.2	61.5	65.3	9.1	16.3	77.0	83.9	37.2	52.5	53.7	47.7	64.8
